standard_code,chinese_name,category_name,analyte_name,specimen_type,result_type,source_code,source_record_id
0100101A,白细胞计数,血细胞分析,白细胞（数量）,全血,quantitative,WST886_2026,WST886_2026:0100101A
0100201A,红细胞计数,血细胞分析,红细胞（数量）,全血,quantitative,WST886_2026,WST886_2026:0100201A
0100301A,血小板计数,血细胞分析,血小板（数量）,全血,quantitative,WST886_2026,WST886_2026:0100301A
0100401A,血红蛋白测定,血细胞分析,红细胞（血红蛋白浓度）,全血,quantitative,WST886_2026,WST886_2026:0100401A
0100501A,血细胞比容测定,血细胞分析,红细胞（比容）,全血,quantitative,WST886_2026,WST886_2026:0100501A
0100601A,平均红细胞体积测定,血细胞分析,红细胞（平均体积）,全血,quantitative,WST886_2026,WST886_2026:0100601A
0100701A,平均红细胞血红蛋白含量测定,血细胞分析,红细胞（平均血红蛋白含量）,全血,quantitative,WST886_2026,WST886_2026:0100701A
0100801A,平均红细胞血红蛋白浓度测定,血细胞分析,红细胞（平均血红蛋白浓度）,全血,quantitative,WST886_2026,WST886_2026:0100801A
0100901A,网织红细胞计数,血细胞分析,网织红细胞（数量）,全血,quantitative,WST886_2026,WST886_2026:0100901A
0300101A,红细胞沉降率测定,血流变学检查,红细胞（沉降率）,全血,quantitative,WST886_2026,WST886_2026:0300101A
0300201A,全血黏度测定,血流变学检查,黏度（全血）,全血,quantitative,WST886_2026,WST886_2026:0300201A
0300303A,血浆黏度测定,血流变学检查,黏度（血浆）,血浆,quantitative,WST886_2026,WST886_2026:0300303A
0400101A,血红蛋白A 测定2,血红蛋白病检测,血红蛋白A2,全血,quantitative,WST886_2026,WST886_2026:0400101A
0400201A,血红蛋白F测定,血红蛋白病检测,血红蛋白F,全血,quantitative,WST886_2026,WST886_2026:0400201A
0500103A,凝血酶原时间检测,凝血实验,凝血酶原,血浆,quantitative,WST886_2026,WST886_2026:0500103A
0500203A,活化部分凝血活酶时间检测,凝血实验,凝血活酶,血浆,quantitative,WST886_2026,WST886_2026:0500203A
0500303A,凝血酶时间检测,凝血实验,凝血酶时间,血浆,quantitative,WST886_2026,WST886_2026:0500303A
0500403A,纤维蛋白原检测,凝血实验,纤维蛋白原,血浆,quantitative,WST886_2026,WST886_2026:0500403A
0500503A,凝血因子Ⅱ活性检测,凝血实验,凝血因子Ⅱ,血浆,quantitative,WST886_2026,WST886_2026:0500503A
0500603A,凝血因子Ⅴ活性检测,凝血实验,凝血因子Ⅴ,血浆,quantitative,WST886_2026,WST886_2026:0500603A
0500703A,凝血因子Ⅶ活性检测,凝血实验,凝血因子Ⅶ,血浆,quantitative,WST886_2026,WST886_2026:0500703A
0500803A,凝血因子Ⅷ活性检测,凝血实验,凝血因子Ⅷ,血浆,quantitative,WST886_2026,WST886_2026:0500803A
0500903A,凝血因子Ⅸ活性检测,凝血实验,凝血因子Ⅸ,血浆,quantitative,WST886_2026,WST886_2026:0500903A
0501003A,凝血因子Ⅹ活性检测,凝血实验,凝血因子Ⅹ,血浆,quantitative,WST886_2026,WST886_2026:0501003A
0501103A,凝血因子Ⅺ活性检测,凝血实验,凝血因子Ⅺ,血浆,quantitative,WST886_2026,WST886_2026:0501103A
0501203A,凝血因子Ⅻ活性检测,凝血实验,凝血因子Ⅻ,血浆,quantitative,WST886_2026,WST886_2026:0501203A
0501303A,抗凝血因子Ⅹa活性检测,凝血实验,抗凝血因子Ⅹa,血浆,quantitative,WST886_2026,WST886_2026:0501303A
0501403A,抗凝血酶活性检测,凝血实验,抗凝血酶,血浆,quantitative,WST886_2026,WST886_2026:0501403A
0501503A,蛋白C活性检测,凝血实验,蛋白C,血浆,quantitative,WST886_2026,WST886_2026:0501503A
0501603A,蛋白S活性检测,凝血实验,蛋白S,血浆,quantitative,WST886_2026,WST886_2026:0501603A
0501703A,D-二聚体检测,凝血实验,D-二聚体,血浆,quantitative,WST886_2026,WST886_2026:0501703A
0501803A,纤维蛋白（原）降解产物检测,凝血实验,纤维蛋白（原）降解产物,血浆,quantitative,WST886_2026,WST886_2026:0501803A
0501903A,血管性血友病因子抗原检测,凝血实验,血管性血友病因子抗原,血浆,quantitative,WST886_2026,WST886_2026:0501903A
0800101A,淋巴细胞亚群测定：CD3+细胞相对计数,淋巴细胞亚群检测,CD3+细胞（相对计数）,全血,quantitative,WST886_2026,WST886_2026:0800101A
0800201A,淋巴细胞亚群测定：CD3+细胞绝对计数,淋巴细胞亚群检测,CD3+细胞（绝对计数）,全血,quantitative,WST886_2026,WST886_2026:0800201A
0800301A,淋巴细胞亚群测定：CD3+CD4+细胞相对计数,淋巴细胞亚群检测,CD3+CD4+细胞（相对计数）,全血,quantitative,WST886_2026,WST886_2026:0800301A
0800401A,淋巴细胞亚群测定：CD3+CD4+细胞绝对计数,淋巴细胞亚群检测,CD3+CD4+细胞（绝对计数）,全血,quantitative,WST886_2026,WST886_2026:0800401A
0800501A,淋巴细胞亚群测定：CD3+CD8+细胞相对计数,淋巴细胞亚群检测,CD3+CD8+细胞（相对计数）,全血,quantitative,WST886_2026,WST886_2026:0800501A
0800601A,淋巴细胞亚群测定：CD3+CD8+细胞绝对计数,淋巴细胞亚群检测,CD3+CD8+细胞（绝对计数）,全血,quantitative,WST886_2026,WST886_2026:0800601A
0800701A,淋 巴 细 胞 亚 群 测 定 ：CD3-CD19+细胞相对计数,淋巴细胞亚群检测,CD3-CD19+细胞（相对计数）,全血,quantitative,WST886_2026,WST886_2026:0800701A
0800801A,淋 巴 细 胞 亚 群 测 定 ：CD3-CD19+细胞绝对计数,淋巴细胞亚群检测,CD3-CD19+细胞（绝对计数）,全血,quantitative,WST886_2026,WST886_2026:0800801A
0800901A,淋 巴 细 胞 亚 群 测 定 ：CD3-CD16+CD56+细胞相对计数,淋巴细胞亚群检测,CD3-CD16+CD56+细胞（相对计数）,全血,quantitative,WST886_2026,WST886_2026:0800901A
0801001A,淋 巴 细 胞 亚 群 测 定 ：CD3-CD16+CD56+细胞绝对计数,淋巴细胞亚群检测,CD3-CD16+CD56+细胞（绝对计数）,全血,quantitative,WST886_2026,WST886_2026:0801001A
0900101A,CD34+细胞相对计数,血液流式分析其他项目,CD34+细胞（相对计数）,全血,quantitative,WST886_2026,WST886_2026:0900101A
0900201A,CD34+细胞绝对计数,血液流式分析其他项目,CD34+细胞（绝对计数）,全血,quantitative,WST886_2026,WST886_2026:0900201A
1100104A,白蛋白测定,蛋白质及多肽类,白蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1100104A
1100110A,尿液白蛋白测定,蛋白质及多肽类,白蛋白,尿液,quantitative,WST886_2026,WST886_2026:1100110A
1100112A,脑脊液白蛋白测定,蛋白质及多肽类,白蛋白,脑脊液,quantitative,WST886_2026,WST886_2026:1100112A
1100204A,总蛋白测定,蛋白质及多肽类,总蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1100204A
1100210A,尿液总蛋白测定,蛋白质及多肽类,总蛋白,尿液,quantitative,WST886_2026,WST886_2026:1100210A
1100212A,脑脊液总蛋白测定,蛋白质及多肽类,总蛋白,脑脊液,quantitative,WST886_2026,WST886_2026:1100212A
1100301A,糖化血红蛋白测定,蛋白质及多肽类,糖化血红蛋白,全血,quantitative,WST886_2026,WST886_2026:1100301A
1100404A,糖化白蛋白测定,蛋白质及多肽类,糖化白蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1100404A
1100504A,性激素结合球蛋白测定,蛋白质及多肽类,性激素结合球蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1100504A
1100604A,甲状腺球蛋白测定,蛋白质及多肽类,甲状腺球蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1100604A
1100704A,抗缪勒管激素测定,蛋白质及多肽类,抗缪勒管激素,血清、血浆,quantitative,WST886_2026,WST886_2026:1100704A
1100802A,血清蛋白电泳测定,蛋白质及多肽类,血清蛋白,血清,quantitative,WST886_2026,WST886_2026:1100802A
1100902A,β-微球蛋白测定2,蛋白质及多肽类,β-微球蛋白2,血清,quantitative,WST886_2026,WST886_2026:1100902A
1100910A,尿液β-微球蛋白测定2,蛋白质及多肽类,β-微球蛋白2,尿液,quantitative,WST886_2026,WST886_2026:1100910A
1101010A,尿液α-微球蛋白测定1,蛋白质及多肽类,α-微球蛋白1,尿液,quantitative,WST886_2026,WST886_2026:1101010A
1101104A,视黄醇结合蛋白测定,蛋白质及多肽类,视黄醇结合蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1101104A
1101110A,尿液视黄醇结合蛋白测定,蛋白质及多肽类,视黄醇结合蛋白,尿液,quantitative,WST886_2026,WST886_2026:1101110A
1101204A,半胱氨酸蛋白酶抑制剂C测定,蛋白质及多肽类,半胱氨酸蛋白酶抑制剂C,血清、血浆,quantitative,WST886_2026,WST886_2026:1101204A
1101310A,尿液转铁蛋白测定,蛋白质及多肽类,转铁蛋白,尿液,quantitative,WST886_2026,WST886_2026:1101310A
1101304A,转铁蛋白测定,蛋白质及多肽类,转铁蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1101304A
1101405A,C反应蛋白测定,蛋白质及多肽类,C反应蛋白,全血、血清、血浆,quantitative,WST886_2026,WST886_2026:1101405A
1101504A,降钙素原测定,蛋白质及多肽类,降钙素原,血清、血浆,quantitative,WST886_2026,WST886_2026:1101504A
1101604A,血清淀粉样蛋白A测定,蛋白质及多肽类,血清淀粉样蛋白A,血清、血浆,quantitative,WST886_2026,WST886_2026:1101604A
1101704A,抗链球菌溶血素O测定,蛋白质及多肽类,抗链球菌溶血素O,血清、血浆,quantitative,WST886_2026,WST886_2026:1101704A
1101804A,免疫球蛋白G测定,蛋白质及多肽类,免疫球蛋白G,血清、血浆,quantitative,WST886_2026,WST886_2026:1101804A
1101810A,尿液免疫球蛋白G测定,蛋白质及多肽类,免疫球蛋白G,尿液,quantitative,WST886_2026,WST886_2026:1101810A
1101812A,脑脊液免疫球蛋白G测定,蛋白质及多肽类,免疫球蛋白G,脑脊液,quantitative,WST886_2026,WST886_2026:1101812A
1101904A,免疫球蛋白M测定,蛋白质及多肽类,免疫球蛋白M,血清、血浆,quantitative,WST886_2026,WST886_2026:1101904A
1101912A,脑脊液免疫球蛋白M测定,蛋白质及多肽类,免疫球蛋白M,脑脊液,quantitative,WST886_2026,WST886_2026:1101912A
1102004A,免疫球蛋白A测定,蛋白质及多肽类,免疫球蛋白A,血清、血浆,quantitative,WST886_2026,WST886_2026:1102004A
1102012A,脑脊液免疫球蛋白A测定,蛋白质及多肽类,免疫球蛋白A,脑脊液,quantitative,WST886_2026,WST886_2026:1102012A
1102104A,免疫球蛋白E测定,蛋白质及多肽类,免疫球蛋白E,血清、血浆,quantitative,WST886_2026,WST886_2026:1102104A
1102204A,免疫球蛋白κ轻链测定,蛋白质及多肽类,免疫球蛋白κ轻链,血清、血浆,quantitative,WST886_2026,WST886_2026:1102204A
1102304A,免疫球蛋白λ轻链测定,蛋白质及多肽类,免疫球蛋白λ轻链,血清、血浆,quantitative,WST886_2026,WST886_2026:1102304A
1102404A,补体3测定,蛋白质及多肽类,补体3,血清、血浆,quantitative,WST886_2026,WST886_2026:1102404A
1102504A,补体4测定,蛋白质及多肽类,补体4,血清、血浆,quantitative,WST886_2026,WST886_2026:1102504A
1102604A,类风湿因子测定,蛋白质及多肽类,类风湿因子,血清、血浆,quantitative,WST886_2026,WST886_2026:1102604A
1102704A,结合珠蛋白测定,蛋白质及多肽类,结合珠蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1102704A
1102804A,铁蛋白测定,蛋白质及多肽类,铁蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1102804A
1102904A,前白蛋白测定,蛋白质及多肽类,前白蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1102904A
1103004A,脂联素测定,蛋白质及多肽类,脂联素,血清、血浆,quantitative,WST886_2026,WST886_2026:1103004A
1103104A,层黏连蛋白测定,蛋白质及多肽类,层黏连蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1103104A
1103204A,Ⅲ型前胶原N端肽测定,蛋白质及多肽类,Ⅲ型前胶原N端肽,血清、血浆,quantitative,WST886_2026,WST886_2026:1103204A
1103304A,Ⅳ型胶原蛋白测定,蛋白质及多肽类,Ⅳ型胶原蛋白,血清、血浆,quantitative,WST886_2026,WST886_2026:1103304A
1200104A,促黄体生成素测定,激素类,促黄体生成素,血清、血浆,quantitative,WST886_2026,WST886_2026:1200104A
1200204A,卵泡刺激素测定,激素类,卵泡刺激素,血清、血浆,quantitative,WST886_2026,WST886_2026:1200204A
1200304A,促肾上腺皮质激素测定,激素类,促肾上腺皮质激素,血清、血浆,quantitative,WST886_2026,WST886_2026:1200304A
1200404A,泌乳素测定,激素类,泌乳素,血清、血浆,quantitative,WST886_2026,WST886_2026:1200404A
1200504A,生长激素测定,激素类,生长激素,血清、血浆,quantitative,WST886_2026,WST886_2026:1200504A
1200604A,促甲状腺激素测定,激素类,促甲状腺激素,血清、血浆,quantitative,WST886_2026,WST886_2026:1200604A
1200704A,三碘甲状腺原氨酸测定,激素类,三碘甲状腺原氨酸,血清、血浆,quantitative,WST886_2026,WST886_2026:1200704A
1200804A,甲状腺素测定,激素类,甲状腺素,血清、血浆,quantitative,WST886_2026,WST886_2026:1200804A
1200904A,游离三碘甲状腺原氨酸测定,激素类,游离三碘甲状腺原氨酸,血清、血浆,quantitative,WST886_2026,WST886_2026:1200904A
1201004A,游离甲状腺素测定,激素类,游离甲状腺素,血清、血浆,quantitative,WST886_2026,WST886_2026:1201004A
1201104A,反三碘甲状腺原氨酸测定,激素类,反三碘甲状腺原氨酸,血清、血浆,quantitative,WST886_2026,WST886_2026:1201104A
1201204A,甲状旁腺激素测定,激素类,甲状旁腺激素,血清、血浆,quantitative,WST886_2026,WST886_2026:1201204A
1201304A,孕酮测定,激素类,孕酮,血清、血浆,quantitative,WST886_2026,WST886_2026:1201304A
1201404A,睾酮测定,激素类,睾酮,血清、血浆,quantitative,WST886_2026,WST886_2026:1201404A
1201504A,雌二醇测定,激素类,雌二醇,血清、血浆,quantitative,WST886_2026,WST886_2026:1201504A
1201604A,雌三醇测定,激素类,雌三醇,血清、血浆,quantitative,WST886_2026,WST886_2026:1201604A
1201704A,17α-羟孕酮测定,激素类,17α-羟孕酮,血清、血浆,quantitative,WST886_2026,WST886_2026:1201704A
1201709A,血斑17α-羟孕酮测定,激素类,17α-羟孕酮,血斑,quantitative,WST886_2026,WST886_2026:1201709A
1201804A,硫酸脱氢表雄酮测定,激素类,硫酸脱氢表雄酮,血清、血浆,quantitative,WST886_2026,WST886_2026:1201804A
1201904A,胰岛素测定,激素类,胰岛素,血清、血浆,quantitative,WST886_2026,WST886_2026:1201904A
1202004A,C肽测定,激素类,C肽,血清、血浆,quantitative,WST886_2026,WST886_2026:1202004A
1202104A,皮质醇测定,激素类,皮质醇,血清、血浆,quantitative,WST886_2026,WST886_2026:1202104A
1202204A,醛固酮测定,激素类,醛固酮,血清、血浆,quantitative,WST886_2026,WST886_2026:1202204A
1202210A,尿液醛固酮测定,激素类,醛固酮,尿液,quantitative,WST886_2026,WST886_2026:1202210A
1202303A,肾素浓度测定,激素类,肾素,血浆,quantitative,WST886_2026,WST886_2026:1202303A
1202403A,肾素活性测定,激素类,肾素（活性）,血浆,quantitative,WST886_2026,WST886_2026:1202403A
1202503A,血管紧张素Ⅰ测定,激素类,血管紧张素Ⅰ,血浆,quantitative,WST886_2026,WST886_2026:1202503A
1202603A,血管紧张素Ⅱ测定,激素类,血管紧张素Ⅱ,血浆,quantitative,WST886_2026,WST886_2026:1202603A
1300101A,环孢霉素测定,治疗药物监测,环孢霉素,全血,quantitative,WST886_2026,WST886_2026:1300101A
1300201A,他克莫司测定,治疗药物监测,他克莫司,全血,quantitative,WST886_2026,WST886_2026:1300201A
1300301A,西罗莫司测定,治疗药物监测,西罗莫司（雷帕霉素）,全血,quantitative,WST886_2026,WST886_2026:1300301A
1300404A,卡马西平测定,治疗药物监测,卡马西平,血清、血浆,quantitative,WST886_2026,WST886_2026:1300404A
1300504A,"10,11-二氢-10-羟基卡马西平测定",治疗药物监测,"10,11-二氢-10-羟基卡马西平",血清、血浆,quantitative,WST886_2026,WST886_2026:1300504A
