检测时间,检测人,检测值,备注,试剂批号变更（可选）
2026-04-02 18:00:00,formal_tester_1,101.00,正式期样例 01,
2026-04-02 18:30:00,formal_tester_2,98.00,正式期样例 02,
2026-04-02 19:00:00,formal_tester_3,103.00,正式期样例 03,
2026-04-02 19:30:00,formal_tester_1,98.50,正式期样例 04,
2026-04-02 20:00:00,formal_tester_2,100.50,正式期样例 05,
2026-04-02 20:30:00,formal_tester_3,112.00,1_2s 预警样例 06,
2026-04-02 21:00:00,formal_tester_1,101.50,正式期样例 07,
2026-04-02 21:30:00,formal_tester_2,97.50,正式期样例 08,
2026-04-02 22:00:00,formal_tester_3,102.00,正式期样例 09,
2026-04-02 22:30:00,formal_tester_1,99.00,正式期样例 10,
2026-04-02 23:00:00,formal_tester_2,116.00,1_3s 失控样例 11,
2026-04-02 23:30:00,formal_tester_3,101.00,正式期样例 12,
2026-04-03 00:00:00,formal_tester_1,111.50,2_2s 链起点样例 13,
2026-04-03 00:30:00,formal_tester_2,112.00,更换试剂批号后首条 + 2_2s 样例 14,是
2026-04-03 01:00:00,formal_tester_3,100.00,正式期样例 15,
2026-04-03 01:30:00,formal_tester_1,112.50,R_4s 前点样例 16,
2026-04-03 02:00:00,formal_tester_2,88.00,R_4s 失控样例 17,
2026-04-03 02:30:00,formal_tester_3,101.00,正式期样例 18,
2026-04-03 03:00:00,formal_tester_1,106.00,4_1s 链样例 19,
2026-04-03 03:30:00,formal_tester_2,106.50,4_1s 链样例 20,
2026-04-03 04:00:00,formal_tester_3,107.00,4_1s 链样例 21,
2026-04-03 04:30:00,formal_tester_1,107.50,4_1s 失控样例 22,
2026-04-03 05:00:00,formal_tester_2,99.00,正式期样例 23,
2026-04-03 05:30:00,formal_tester_3,101.50,正式期样例 24,
2026-04-03 06:00:00,formal_tester_1,98.00,正式期样例 25,
2026-04-03 06:30:00,formal_tester_2,101.00,正式期样例 26,
2026-04-03 07:00:00,formal_tester_3,99.50,正式期样例 27,
2026-04-03 07:30:00,formal_tester_1,102.50,正式期样例 28,
2026-04-03 08:00:00,formal_tester_2,97.00,正式期样例 29,
2026-04-03 08:30:00,formal_tester_3,99.00,正式期样例 30,
2026-04-03 09:00:00,formal_tester_1,101.00,10x 链样例 31,
2026-04-03 09:30:00,formal_tester_2,102.00,10x 链样例 32,
2026-04-03 10:00:00,formal_tester_3,101.50,10x 链样例 33,
2026-04-03 10:30:00,formal_tester_1,102.50,10x 链样例 34,
2026-04-03 11:00:00,formal_tester_2,100.50,10x 链样例 35,
2026-04-03 11:30:00,formal_tester_3,103.00,更换试剂批号后首条 + 10x 链样例 36,是
2026-04-03 12:00:00,formal_tester_1,101.00,10x 链样例 37,
2026-04-03 12:30:00,formal_tester_2,102.00,10x 链样例 38,
2026-04-03 13:00:00,formal_tester_3,101.50,10x 链样例 39,
2026-04-03 13:30:00,formal_tester_1,101.00,10x 失控样例 40,
2026-04-03 14:00:00,formal_tester_2,98.50,正式期样例 41,
2026-04-03 14:30:00,formal_tester_3,101.00,正式期样例 42,
2026-04-03 15:00:00,formal_tester_1,97.50,正式期样例 43,
2026-04-03 15:30:00,formal_tester_2,105.00,正式期样例 44,
2026-04-03 16:00:00,formal_tester_3,96.00,正式期样例 45,
2026-04-03 16:30:00,formal_tester_1,103.00,正式期样例 46,
2026-04-03 17:00:00,formal_tester_2,99.00,正式期样例 47,
2026-04-03 17:30:00,formal_tester_3,102.00,正式期样例 48,
2026-04-03 18:00:00,formal_tester_1,98.50,正式期样例 49,
2026-04-03 18:30:00,formal_tester_2,100.50,正式期样例 50,
