检测时间,检测人,检测值,备注,试剂批号变更（可选）
2026-04-02 08:00:00,tester_01,90.26,建靶导入样例,
2026-04-02 08:30:00,tester_02,93.13,,
2026-04-02 09:00:00,tester_01,95.04,,
2026-04-02 09:30:00,tester_03,95.52,,
2026-04-02 10:00:00,tester_02,96.96,,
2026-04-02 10:30:00,tester_01,97.43,,
2026-04-02 11:00:00,tester_03,98.39,,
2026-04-02 11:30:00,tester_02,98.87,,
2026-04-02 12:00:00,tester_01,99.11,,
2026-04-02 12:30:00,tester_03,99.35,,
2026-04-02 13:00:00,tester_02,99.73,,
2026-04-02 13:30:00,tester_01,100.06,,
2026-04-02 14:00:00,tester_03,100.78,,
2026-04-02 14:30:00,tester_02,101.98,,
2026-04-02 15:00:00,tester_01,103.17,,
2026-04-02 15:30:00,tester_03,104.13,,
2026-04-02 16:00:00,tester_02,106.04,,
2026-04-02 16:30:00,tester_01,108.44,,
2026-04-02 17:00:00,tester_03,111.31,,
2026-04-02 17:30:00,tester_02,100.30,,
